generation,mi_pred_dx,mi_pred_dy,mi_pred_dist,mi_food_dx,mi_food_dy,mi_ally_dist,mi_sig0_str,mi_sig0_dx,mi_sig0_dy,mi_sig1_str,mi_sig1_dx,mi_sig1_dy,mi_sig2_str,mi_sig2_dx,mi_sig2_dy,mi_energy
0,0.0006,0.0001,0.0007,0.0113,0.0237,0.0041,0.2052,0.2360,0.0666,0.3334,0.1195,0.0605,0.1621,0.0648,0.0568,0.0162
1,0.0020,0.0103,0.0169,0.0144,0.0222,0.0048,0.2323,0.2391,0.1714,0.1227,0.0552,0.1405,0.1666,0.0473,0.1146,0.0244
2,0.0022,0.0023,0.0007,0.0366,0.0072,0.0558,0.4372,0.1075,0.0588,0.3797,0.0927,0.1265,0.1329,0.1207,0.0901,0.0056
3,0.0044,0.0014,0.0002,0.0125,0.0117,0.0139,0.3224,0.1279,0.0823,0.3164,0.0899,0.0348,0.1019,0.0603,0.0813,0.0398
4,0.0012,0.0041,0.0009,0.0223,0.0054,0.0256,0.2730,0.0924,0.0500,0.2700,0.0678,0.0450,0.0862,0.0806,0.0378,0.0065
5,0.0065,0.0004,0.0019,0.0084,0.0057,0.0013,0.1769,0.0962,0.0992,0.0913,0.0720,0.1185,0.1810,0.1205,0.0802,0.0142
6,0.0047,0.0061,0.0089,0.0180,0.0254,0.0342,0.1233,0.0724,0.0416,0.1396,0.1242,0.1002,0.1267,0.0822,0.0764,0.0385
7,0.0000,0.0024,0.0046,0.0241,0.0265,0.0127,0.0551,0.0396,0.0392,0.1526,0.1327,0.0583,0.1728,0.1230,0.1294,0.0032
8,0.0155,0.0100,0.0117,0.0333,0.0407,0.0597,0.1574,0.0750,0.0837,0.1750,0.0994,0.0192,0.3143,0.1180,0.0687,0.0318
9,0.0034,0.0008,0.0083,0.0317,0.0318,0.0157,0.2061,0.0538,0.0719,0.1486,0.0521,0.1601,0.1572,0.1828,0.0543,0.0084
10,0.0034,0.0020,0.0022,0.0353,0.0157,0.0105,0.0915,0.1286,0.0297,0.2132,0.0506,0.0457,0.1754,0.0931,0.1007,0.0128
11,0.0042,0.0012,0.0053,0.0386,0.0196,0.0136,0.1852,0.1232,0.0406,0.1492,0.0637,0.0656,0.1638,0.1805,0.0489,0.0044
12,0.0169,0.0062,0.0155,0.0404,0.0333,0.0246,0.2264,0.0896,0.0622,0.1195,0.0672,0.0597,0.0645,0.0501,0.0200,0.0079
13,0.0020,0.0008,0.0027,0.0150,0.0160,0.0143,0.0739,0.0330,0.1208,0.2698,0.0539,0.0497,0.0234,0.0044,0.0138,0.0477
14,0.0001,0.0001,0.0018,0.0065,0.0393,0.0062,0.1487,0.0551,0.0715,0.1256,0.0415,0.0889,0.0318,0.0165,0.0191,0.0210
15,0.0057,0.0024,0.0135,0.0041,0.0216,0.0094,0.1316,0.1012,0.0954,0.2878,0.0653,0.0912,0.0273,0.0188,0.0038,0.0265
16,0.0012,0.0093,0.0034,0.0126,0.0345,0.0081,0.0708,0.1125,0.0667,0.3298,0.0794,0.0878,0.0379,0.0430,0.0245,0.0030
17,0.0023,0.0009,0.0002,0.0016,0.0148,0.0302,0.1304,0.0990,0.0566,0.3925,0.0825,0.0995,0.0558,0.0539,0.0394,0.0132
18,0.0090,0.0121,0.0013,0.0141,0.0101,0.0188,0.1020,0.0446,0.0123,0.2228,0.2465,0.1025,0.0685,0.0496,0.0685,0.0047
19,0.0033,0.0041,0.0011,0.0259,0.0368,0.0172,0.1838,0.1257,0.0454,0.1269,0.0488,0.0525,0.0387,0.0257,0.0150,0.0410
20,0.0017,0.0006,0.0014,0.0170,0.0145,0.0249,0.1166,0.0423,0.1198,0.1859,0.1183,0.0885,0.0295,0.0044,0.0077,0.0241
21,0.0055,0.0000,0.0114,0.0095,0.0082,0.0219,0.0000,0.0606,0.0776,0.2636,0.1351,0.0636,0.0920,0.0340,0.0312,0.0100
22,0.0011,0.0004,0.0034,0.0192,0.0257,0.0223,0.0000,0.0539,0.0810,0.2136,0.0976,0.0349,0.0421,0.0281,0.0162,0.0154
23,0.0021,0.0005,0.0003,0.0347,0.0522,0.0253,0.2765,0.0870,0.0588,0.1990,0.1158,0.0474,0.1536,0.0691,0.0543,0.0152
24,0.0002,0.0004,0.0035,0.0209,0.0176,0.0126,0.0000,0.0735,0.0529,0.1342,0.0271,0.0368,0.0695,0.0253,0.0274,0.0109
25,0.0053,0.0030,0.0035,0.0471,0.0347,0.0295,0.0000,0.1082,0.0417,0.1122,0.0690,0.0234,0.3244,0.1633,0.1872,0.0159
26,0.0050,0.0020,0.0048,0.0535,0.0360,0.0195,0.2045,0.1101,0.0427,0.0846,0.0549,0.0356,0.3170,0.1310,0.1792,0.0036
27,0.0083,0.0051,0.0046,0.0310,0.0211,0.0432,0.0000,0.0888,0.0246,0.0969,0.0694,0.0358,0.1763,0.1646,0.0691,0.0189
28,0.0012,0.0038,0.0004,0.0616,0.0237,0.0096,0.1959,0.0931,0.0721,0.1550,0.0465,0.0913,0.2586,0.1296,0.0529,0.0059
29,0.0046,0.0025,0.0119,0.0049,0.0184,0.0063,0.0000,0.0148,0.0376,0.1151,0.0371,0.0260,0.0629,0.0428,0.0336,0.0052
30,0.0035,0.0088,0.0091,0.0022,0.0092,0.0070,0.0000,0.0391,0.0239,0.0564,0.0440,0.0244,0.0345,0.0240,0.0198,0.0079
31,0.0011,0.0026,0.0071,0.0035,0.0059,0.0093,0.0000,0.0032,0.0010,0.0030,0.0002,0.0003,0.0076,0.0020,0.0018,0.0157
32,0.0055,0.0065,0.0129,0.0132,0.0371,0.0206,0.0000,0.0758,0.0508,0.0405,0.0241,0.0403,0.1117,0.0522,0.0999,0.0122
33,0.0063,0.0002,0.0111,0.0099,0.0171,0.0274,0.0000,0.0929,0.0519,0.1619,0.0807,0.1046,0.0379,0.0163,0.0127,0.0179
34,0.0060,0.0017,0.0061,0.0103,0.0311,0.0178,0.0000,0.0600,0.0146,0.1036,0.0498,0.0829,0.0353,0.0303,0.0189,0.0422
35,0.0070,0.0007,0.0009,0.0229,0.0548,0.0205,0.0000,0.0787,0.0463,0.1683,0.1543,0.0884,0.0527,0.0260,0.0200,0.0066
36,0.0064,0.0022,0.0048,0.0107,0.0319,0.0116,0.2969,0.1340,0.0768,0.2420,0.0367,0.1224,0.1274,0.0409,0.0564,0.0063
37,0.0027,0.0008,0.0044,0.0137,0.0138,0.0070,0.2558,0.0672,0.0469,0.1240,0.0752,0.1449,0.3055,0.0329,0.1538,0.0307
38,0.0000,0.0006,0.0028,0.0284,0.0448,0.0198,0.1882,0.1290,0.0889,0.2181,0.1414,0.1812,0.3037,0.0689,0.2495,0.0109
