generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta
0,30.0,79.0,994,-0.0117,0.0034,0.0283,0.0844,-0.2884,-0.0263,0.0000,0.5306,0.0000,0.0000,0.0000
1,18.9,52.0,651,0.0044,0.0283,0.0634,0.1563,-0.4829,0.0841,0.0000,0.5891,0.0000,0.0000,0.0000
2,18.4,42.0,604,-0.0127,0.0052,0.0923,0.1266,-0.4328,0.1179,0.0000,0.4444,0.0000,0.0000,0.0000
3,18.5,59.0,603,-0.0097,0.0133,0.0797,0.1032,-0.5130,-0.1306,0.0000,0.5727,0.0000,0.0000,0.0000
4,17.5,48.0,554,-0.0320,0.0134,0.0864,0.1325,-0.3764,-0.1218,0.0000,0.5925,0.0000,0.0000,0.0000
5,25.4,68.0,729,0.0152,0.0292,0.0740,0.1326,-0.4849,-0.1523,0.0000,0.5933,0.0000,0.0000,0.0000
6,17.6,42.0,464,0.0069,0.0215,0.0569,0.1104,-0.5174,-0.1719,0.0000,0.5979,0.0000,0.0000,0.0000
7,14.5,39.0,437,0.0188,0.0063,0.0772,0.1460,-0.2321,-0.1142,0.0000,0.6299,0.0000,0.0000,0.0000
8,22.7,56.0,729,-0.0115,0.0378,0.0439,0.0749,-0.4524,-0.1378,0.0000,0.4856,0.0000,0.0000,0.0000
9,17.8,47.0,629,-0.0108,0.0252,0.0426,0.2381,-0.3061,-0.0282,0.0000,0.5750,0.0000,0.0000,0.0000
10,17.9,43.0,534,-0.0180,0.0038,0.0438,0.1193,-0.3083,-0.2188,0.0000,0.5712,0.0000,0.0000,0.0000
11,32.0,71.0,986,-0.0287,0.0083,0.0887,0.2438,-0.3090,0.2120,0.0000,0.5515,0.0000,0.0000,0.0000
12,21.1,54.0,705,-0.0055,0.0105,0.0689,0.1552,-0.3897,-0.1780,0.0000,0.5178,0.0000,0.0000,0.0000
13,21.1,63.0,596,-0.0273,0.0149,0.0775,0.0927,-0.5403,-0.0888,0.0000,0.5511,0.0000,0.0000,0.0000
14,19.4,60.0,620,-0.0019,0.0137,0.0627,0.0529,-0.3478,-0.0561,0.0000,0.4552,0.0000,0.0000,0.0000
15,22.8,57.0,785,-0.0176,0.0264,0.0434,0.1143,-0.4836,0.2681,0.0000,0.5130,0.0000,0.0000,0.0000
16,18.5,55.0,629,-0.0023,0.0034,0.0456,0.0789,-0.4600,0.1172,0.0000,0.5157,0.0000,0.0000,0.0000
17,28.0,77.0,995,-0.0133,0.0038,0.0857,0.1076,-0.4575,-0.0288,0.0000,0.5947,0.0000,0.0000,0.0000
18,17.1,47.0,619,-0.0120,0.0024,0.0755,0.1087,-0.3801,0.0092,0.0000,0.5981,0.0000,0.0000,0.0000
19,20.8,59.0,720,-0.0250,0.0106,0.0650,0.1011,-0.2875,0.0069,0.7085,0.5610,0.0000,0.0000,0.0000
20,18.5,70.0,656,-0.0266,0.0005,0.1273,0.0812,-0.4121,0.2104,0.6884,0.5471,0.0000,0.0000,0.0000
21,26.8,67.0,1111,-0.0237,0.0169,0.1422,0.0990,-0.4690,0.1999,0.6680,0.5926,0.0000,0.0000,0.0000
22,30.4,67.0,1262,-0.0245,0.0063,0.0775,0.0972,-0.3002,0.0241,0.7191,0.5914,0.0000,0.0000,0.0000
23,29.5,73.0,1079,-0.0056,0.0080,0.0945,0.3326,-0.3488,-0.1270,0.7321,0.5825,0.0000,0.0000,0.0000
24,19.0,55.0,790,-0.0305,0.0050,0.0753,0.2499,-0.4274,0.0327,0.7417,0.5628,0.0000,0.0000,0.0000
25,21.2,57.0,936,-0.0322,0.0080,0.1533,0.0880,-0.3795,0.1568,0.7594,0.5329,0.0000,0.0000,0.0000
26,14.8,33.0,614,-0.0520,0.0061,0.0560,0.1003,-0.4447,0.1825,0.7593,0.5612,0.0000,0.0000,0.0000
27,21.4,55.0,894,-0.0247,0.0073,0.0902,0.1341,-0.4781,0.1725,0.6300,0.5697,0.0000,0.0000,0.0000
28,17.7,48.0,700,0.0079,0.0017,0.0680,0.0475,-0.5357,-0.3196,0.5386,0.5855,0.0000,0.0000,0.0000
29,18.3,47.0,704,-0.0218,0.0168,0.0781,0.1205,-0.4082,0.2329,0.5634,0.5877,0.0000,0.0000,0.0000
30,17.5,41.0,699,-0.0201,0.0056,0.0732,0.0353,-0.4578,-0.0981,0.5862,0.5998,0.0000,0.0000,0.0000
31,29.4,94.0,1153,-0.0165,0.0093,0.1105,0.1872,-0.3276,0.2242,0.4079,0.5386,0.0000,0.0000,0.0000
32,20.8,56.0,765,-0.0416,0.0138,0.1326,0.0880,-0.4931,-0.0457,0.3895,0.5807,0.0000,0.0000,0.0000
33,19.5,63.0,658,-0.0099,0.0118,0.0495,0.1678,-0.5020,-0.2724,0.4029,0.5238,0.0000,0.0000,0.0000
34,19.9,47.0,688,-0.0094,0.0070,0.1008,0.1374,-0.4386,0.2420,0.3220,0.4651,0.0000,0.0000,0.0000
35,23.1,53.0,829,-0.0154,0.0043,0.0556,0.1770,-0.3002,-0.2282,0.3205,0.5172,0.0000,0.0000,0.0000
36,27.9,62.0,1120,-0.0215,0.0135,0.0716,0.1236,-0.3771,-0.0624,0.3064,0.6124,0.0000,0.0000,0.0000
37,28.9,66.0,1226,-0.0081,0.0062,0.0583,0.0498,-0.3334,-0.1443,0.3248,0.5800,0.0000,0.0000,0.0000
38,17.5,51.0,759,-0.0162,0.0165,0.1301,0.0471,-0.4273,0.1231,0.3190,0.5341,0.0000,0.0000,0.0000
39,17.1,49.0,681,-0.0187,0.0032,0.0706,0.0252,-0.4268,-0.1775,0.3279,0.5965,0.0000,0.0000,0.0000
40,18.0,55.0,682,-0.0135,0.0047,0.0404,0.0907,-0.3106,-0.2647,0.3417,0.5910,0.0000,0.0000,0.0000
41,18.6,67.0,583,-0.0109,0.0212,0.1064,0.1469,-0.5288,-0.0179,0.3402,0.4508,0.0000,0.0000,0.0000
42,22.2,64.0,739,-0.0187,0.0055,0.0483,0.0743,-0.3929,-0.2622,0.3435,0.5429,0.0000,0.0000,0.0000
43,19.1,48.0,656,-0.0248,0.0167,0.0667,0.1104,-0.5480,0.0148,0.2862,0.5650,0.0000,0.0000,0.0000
44,28.1,98.0,979,-0.0277,0.0089,0.1209,0.1647,-0.4825,0.0073,0.3554,0.5170,0.0000,0.0000,0.0000
45,19.5,58.0,745,-0.0178,0.0414,0.0895,0.0583,-0.5037,0.1186,0.3580,0.5264,0.0000,0.0000,0.0000
46,20.9,59.0,773,-0.0225,0.0295,0.1290,0.0840,-0.5229,0.1761,0.3565,0.5087,0.0000,0.0000,0.0000
47,32.6,86.0,1140,-0.0149,0.0078,0.0641,0.0468,-0.3358,0.2849,0.3550,0.5932,0.0000,0.0000,0.0000
48,16.1,46.0,636,-0.0259,0.0076,0.1212,0.2740,-0.4980,0.0963,0.4801,0.5652,0.0000,0.0000,0.0000
49,24.4,67.0,830,-0.0146,0.0179,0.0993,0.1251,-0.5053,-0.1913,0.4456,0.5542,0.0000,0.0000,0.0000
50,28.5,71.0,1098,-0.0150,0.0151,0.0895,0.1830,-0.4703,0.0396,0.3871,0.5574,0.0000,0.0000,0.0000
51,28.3,79.0,795,0.0055,0.0262,0.0637,0.0773,-0.4149,-0.4297,0.3789,0.4929,0.0000,0.0000,0.0000
52,18.7,59.0,633,-0.0236,0.0227,0.1615,0.2368,-0.4789,0.1447,0.3807,0.5271,0.0000,0.0000,0.0000
53,17.9,54.0,570,-0.0526,0.0036,0.1455,0.1235,-0.5878,0.2164,0.3794,0.5729,0.0000,0.0000,0.0000
54,23.5,72.0,844,-0.0207,0.0054,0.1713,0.2060,-0.4082,-0.0250,0.3894,0.5687,0.0000,0.0000,0.0000
55,16.9,40.0,592,0.0053,0.0206,0.1295,0.2367,-0.4823,0.0812,0.3884,0.5989,0.0000,0.0000,0.0000
56,19.5,44.0,726,-0.0033,0.0084,0.1979,0.3293,-0.3519,0.1823,0.4036,0.5234,0.0000,0.0000,0.0000
57,23.1,64.0,816,-0.0214,0.0098,0.1016,0.1786,-0.4241,0.0439,0.4347,0.4883,0.0000,0.0000,0.0000
58,30.3,68.0,1269,-0.0156,0.0021,0.2347,0.1816,-0.2909,0.1622,0.2984,0.5821,0.0000,0.0000,0.0000
59,27.2,74.0,1094,-0.0156,0.0034,0.1262,0.2792,-0.3548,-0.1213,0.3034,0.5206,0.0000,0.0000,0.0000
60,16.2,36.0,622,-0.0019,0.0099,0.1381,0.1239,-0.3743,-0.1733,0.3099,0.5938,0.0000,0.0000,0.0000
61,16.8,45.0,658,-0.0125,0.0036,0.1046,0.2205,-0.5785,-0.2365,0.3183,0.5789,0.0000,0.0000,0.0000
62,19.3,47.0,644,-0.0153,0.0013,0.0821,0.1639,-0.1653,-0.0930,0.3325,0.6081,0.0000,0.0000,0.0000
63,20.5,59.0,698,-0.0203,0.0072,0.0872,0.1063,-0.4385,-0.0346,0.3212,0.5353,0.0000,0.0000,0.0000
64,18.3,47.0,743,-0.0252,0.0147,0.0543,0.1197,-0.4235,0.0540,0.2156,0.5717,0.0000,0.0000,0.0000
65,16.2,36.0,681,-0.0165,0.0055,0.0635,0.1687,-0.3527,0.0474,0.2135,0.6184,0.0000,0.0000,0.0000
66,18.0,53.0,721,-0.0157,0.0042,0.0389,0.0625,-0.2130,0.2154,0.4720,0.5982,0.0000,0.0000,0.0000
67,21.8,74.0,729,-0.0195,0.0174,0.0553,0.1658,-0.4804,-0.0347,1.5847,0.5670,0.0000,0.0000,0.0000
68,17.5,39.0,702,-0.0357,0.0100,0.0892,0.1725,-0.2141,0.1695,1.7380,0.6083,0.0000,0.0000,0.0000
69,33.2,71.0,1307,-0.0114,0.0033,0.2100,0.3339,-0.1783,-0.1528,1.7060,0.5700,0.0000,0.0000,0.0000
70,16.6,41.0,683,-0.0148,0.0285,0.0452,0.1160,-0.3724,0.1663,2.2980,0.5530,0.0000,0.0000,0.0000
71,17.7,49.0,669,-0.0209,0.0140,0.1473,0.1179,-0.1020,0.0000,2.3440,0.5081,0.0000,0.0000,0.0000
72,23.9,58.0,1055,-0.0142,0.0090,0.2198,0.3697,-0.3813,0.0000,2.3143,0.5584,0.0000,0.0000,0.0000
73,18.4,58.0,748,-0.0154,0.0144,0.2387,0.3470,-0.3488,-0.1592,2.2377,0.5904,0.0000,0.0000,0.0000
74,26.8,60.0,1155,-0.0221,0.0083,0.2634,0.2501,-0.2920,0.0316,2.1884,0.6178,0.0000,0.0000,0.0000
75,18.2,47.0,742,-0.0304,0.0017,0.2210,0.4803,-0.3306,-0.2579,2.2675,0.5966,0.0000,0.0000,0.0000
76,18.6,53.0,752,-0.0253,0.0076,0.2912,0.2743,-0.5065,0.0000,2.3879,0.5871,0.0000,0.0000,0.0000
77,21.8,61.0,771,-0.0361,0.0081,0.3124,0.2231,-0.4455,0.2395,2.1463,0.5659,0.0000,0.0000,0.0000
78,27.2,75.0,1085,-0.0201,0.0007,0.3249,0.4847,-0.3314,-0.2676,2.0760,0.5487,0.0000,0.0000,0.0000
79,24.4,69.0,956,-0.0096,0.0005,0.3835,0.2809,-0.4568,0.0522,2.0938,0.6064,0.0000,0.0000,0.0000
80,27.0,81.0,1052,-0.0124,0.0043,0.2957,0.2584,-0.4611,-0.0056,0.6845,0.5165,0.0000,0.0000,0.0000
81,15.5,38.0,641,-0.0222,0.0110,0.1703,0.6931,-0.4505,-0.0622,0.6845,0.6159,0.0000,0.0000,0.0000
82,24.7,90.0,849,-0.0203,0.0066,0.1992,0.1293,-0.3759,0.0782,0.9213,0.4554,0.0000,0.0000,0.0000
83,17.5,38.0,697,-0.0200,0.0360,0.1638,0.1156,-0.3436,-0.0420,0.9160,0.6184,0.0000,0.0000,0.0000
84,19.2,39.0,721,-0.0118,0.0182,0.2722,0.2504,-0.4126,0.1934,0.8729,0.5606,0.0000,0.0000,0.0000
85,17.5,63.0,642,-0.0100,0.0285,0.3211,0.3194,-0.4375,-0.3250,1.0889,0.5651,0.0000,0.0000,0.0000
86,19.1,65.0,651,-0.0287,0.0253,0.2714,0.1112,-0.2910,0.2247,1.0597,0.4621,0.0000,0.0000,0.0000
87,16.9,40.0,557,-0.0251,0.0274,0.2270,0.1494,-0.4485,-0.1530,1.0167,0.5966,0.0000,0.0000,0.0000
88,18.0,49.0,582,-0.0194,0.0012,0.1614,0.1168,-0.4263,-0.3638,1.0167,0.5879,0.0000,0.0000,0.0000
89,26.3,71.0,881,-0.0134,0.0079,0.1061,0.0766,-0.4765,0.0727,1.0167,0.5416,0.0000,0.0000,0.0000
90,19.4,67.0,664,-0.0126,0.0153,0.1733,0.0714,-0.4445,0.1236,0.9607,0.4769,0.0000,0.0000,0.0000
91,24.5,63.0,896,-0.0031,0.0068,0.1292,0.0854,-0.4341,-0.0999,0.9607,0.6112,0.0000,0.0000,0.0000
92,17.2,40.0,661,-0.0107,0.0045,0.0722,0.1793,-0.4571,0.0554,0.9343,0.6274,0.0000,0.0000,0.0000
93,20.1,56.0,644,-0.0191,0.0356,0.0753,0.1246,-0.5673,-0.0646,0.9350,0.4846,0.0000,0.0000,0.0000
94,20.1,50.0,685,0.0042,0.0169,0.0171,0.0188,-0.4406,-0.0647,0.9617,0.5750,0.0000,0.0000,0.0000
95,28.1,67.0,1131,-0.0264,0.0066,0.0291,0.0821,-0.1808,0.2568,0.6656,0.5354,0.0000,0.0000,0.0000
96,27.0,65.0,914,-0.0042,0.0336,0.1862,0.1557,-0.3823,-0.1827,1.6245,0.5958,0.0000,0.0000,0.0000
97,34.8,89.0,1167,-0.0133,0.0072,0.1423,0.0615,-0.4092,0.1250,1.6283,0.5545,0.0000,0.0000,0.0000
98,28.0,73.0,837,0.0005,0.0279,0.1429,0.1287,-0.3762,-0.2572,1.6151,0.6264,0.0000,0.0000,0.0000
99,25.0,54.0,747,0.0051,0.0173,0.2790,0.2209,-0.3419,-0.1116,1.6036,0.5586,0.0000,0.0000,0.0000
100,21.0,70.0,521,-0.0381,0.0438,0.0877,0.2576,-0.4193,-0.0285,2.3854,0.5270,0.0000,0.0000,0.0000
101,22.5,70.0,647,0.0063,0.0509,0.2056,0.1423,-0.3227,-0.2460,2.7503,0.5519,0.0000,0.0000,0.0000
102,16.7,45.0,418,-0.0181,0.0367,0.3386,0.1010,-0.5549,0.0845,2.7348,0.5699,0.0000,0.0000,0.0000
103,27.3,64.0,615,-0.0069,0.0278,0.3326,0.2151,-0.3579,-0.0459,2.6717,0.5739,0.0000,0.0000,0.0000
104,18.9,47.0,414,-0.0151,0.0217,0.2262,0.1975,-0.4560,0.0523,2.5964,0.5775,0.0000,0.0000,0.0000
105,19.6,56.0,469,0.0185,0.0315,0.2159,0.1506,-0.4893,0.0997,2.5474,0.4784,0.0000,0.0000,0.0000
106,19.7,52.0,382,0.0172,0.0272,0.3386,0.2438,-0.4608,-0.1743,2.3439,0.5659,0.0000,0.0000,0.0000
107,20.4,64.0,371,0.0048,0.0547,0.2326,0.2140,-0.4240,-0.0682,2.3405,0.5504,0.0000,0.0000,0.0000
108,17.2,50.0,228,0.0190,0.0102,0.0824,0.0164,-0.5126,-0.1603,2.3642,0.4889,0.0000,0.0000,0.0000
109,21.8,51.0,337,-0.0256,0.0147,0.2762,0.2118,-0.4668,-0.0559,2.3384,0.5788,0.0000,0.0000,0.0000
110,17.4,46.0,254,-0.0665,0.0268,0.2450,0.2859,-0.4253,0.2640,1.7412,0.5992,0.0000,0.0000,0.0000
111,24.2,67.0,320,0.0263,0.0618,0.1595,0.1513,-0.4285,-0.1893,0.5634,0.4920,0.0000,0.1055,-0.2438
112,20.8,73.0,166,0.1527,0.0371,0.1049,0.0614,-0.3005,-0.3106,0.5910,0.4838,0.0000,0.0000,0.0000
113,17.6,38.0,221,-0.0844,0.0258,0.1890,0.3079,-0.2734,0.1598,0.5877,0.5697,0.0000,0.0000,0.0000
114,32.4,94.0,419,-0.0346,0.0361,0.1946,0.1692,-0.4105,-0.0646,0.8414,0.5159,0.0000,0.0000,0.0000
115,18.3,50.0,299,0.0109,0.0565,0.1743,0.1492,-0.5398,-0.0715,0.8608,0.5567,0.0000,0.0000,0.0000
116,20.2,62.0,275,-0.0359,0.0464,0.1753,0.0393,-0.4377,-0.0076,0.9468,0.5414,0.0000,0.0000,0.0000
117,22.8,55.0,241,0.0499,0.0874,0.1658,0.1504,-0.2592,-0.1404,1.0494,0.6118,0.0000,0.0000,0.0000
118,18.0,50.0,221,-0.0131,0.0673,0.1354,0.1797,-0.2403,0.0238,1.0041,0.5468,0.0000,0.0000,0.0000
119,16.5,48.0,201,-0.0124,0.0781,0.2027,0.2140,-0.3765,-0.1525,0.9940,0.5048,0.0000,0.0000,0.0000
120,17.6,65.0,209,0.0189,0.0794,0.3311,0.3189,-0.4471,-0.0304,0.9806,0.3384,0.0000,0.0000,0.0000
121,22.1,73.0,134,-0.0178,0.0879,0.1051,0.3186,-0.3605,-0.2179,0.9484,0.4397,0.0000,0.0000,0.0000
122,24.6,76.0,167,0.0139,0.1885,0.2407,0.2733,-0.3045,-0.1119,0.8729,0.4899,0.0000,0.1842,-0.4405
123,30.4,78.0,309,-0.0367,0.0441,0.3139,0.1024,-0.3694,-0.1934,0.8628,0.5328,0.0000,0.0000,0.0000
124,17.9,58.0,194,-0.0513,0.0485,0.2655,0.1649,-0.3551,-0.1327,0.7741,0.5596,0.0000,0.0000,0.0000
125,20.6,45.0,164,-0.0232,0.0534,0.1013,0.1020,-0.0689,-0.2959,0.8580,0.6228,0.0000,0.0000,0.0000
126,22.3,63.0,207,-0.0464,0.0940,0.1722,0.0827,-0.3466,-0.1243,0.9102,0.5537,0.0000,0.0000,0.0000
127,20.5,59.0,192,-0.0117,0.1328,0.2332,0.2196,-0.5039,0.1142,1.1926,0.5715,0.0000,0.0000,0.0000
128,27.5,67.0,303,-0.0030,0.0839,0.3460,0.2223,-0.2751,-0.0749,1.1475,0.5783,0.0000,0.0000,0.0000
129,18.8,41.0,203,0.0735,0.0731,0.3962,0.3401,-0.3176,-0.3564,1.1380,0.4734,0.0000,0.0000,0.0000
130,33.1,75.0,394,-0.0024,0.0761,0.3515,0.2108,-0.3033,0.0076,1.1431,0.5274,0.0000,0.0000,0.0000
131,22.0,61.0,313,-0.0873,0.1356,0.3372,0.3420,-0.2665,0.2384,1.1550,0.5394,0.0000,0.0000,0.0000
132,19.4,48.0,226,-0.0378,0.1255,0.3702,0.2627,-0.2979,0.0016,1.1298,0.5102,0.0000,0.0000,0.0000
133,22.3,64.0,356,-0.0309,0.0773,0.3655,0.3359,-0.3547,0.2601,1.1221,0.5459,0.0000,0.0000,0.0000
134,19.0,54.0,308,-0.0062,0.0690,0.3800,0.2811,-0.4354,-0.1189,1.1186,0.5579,0.0000,0.0000,0.0000
135,18.2,49.0,287,-0.0533,0.0211,0.4126,0.3557,-0.4576,-0.0040,1.0909,0.5482,0.0000,0.0000,0.0000
136,17.9,36.0,363,-0.0107,0.0713,0.2825,0.2694,-0.3443,-0.1809,1.0249,0.6558,0.0000,0.0000,0.0000
137,18.4,62.0,347,-0.0295,0.0477,0.2507,0.3241,-0.1623,-0.2514,0.5106,0.4968,0.0000,0.0000,0.0000
138,20.5,81.0,311,-0.0061,0.1017,0.3098,0.3605,-0.4007,-0.0882,0.5147,0.4228,0.0000,0.0000,0.0000
