generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi
0,322.2,1050.0,616492,0.5291,0.0007,0.0029,0.0015,-0.1555,-0.2713,0.0000,0.6855,0.0654,0.0000,0.0000,12.0,12,12,6.0,6,6,710,1.7908,475,0.0001
10,348.6,1050.0,643059,0.4435,0.0004,0.0118,0.0158,-0.2125,-0.3377,0.0000,0.6862,-0.0028,0.0000,0.0000,12.0,10,15,5.9,3,8,700,1.7861,417,0.0005
20,362.2,950.0,659955,0.4918,0.0002,0.0072,0.0076,-0.1042,-0.3172,0.0000,0.6923,-0.0192,0.0000,0.0000,12.1,10,16,5.9,2,8,666,1.7911,413,0.0013
30,382.3,1250.0,685748,0.5861,0.0001,0.0056,0.0051,-0.0861,-0.2641,0.0000,0.6582,0.0186,0.0000,0.0000,12.2,9,17,6.0,3,9,627,1.7860,370,0.0003
40,376.2,950.0,676514,0.4944,0.0002,0.0084,0.0069,-0.1706,-0.3101,0.0000,0.7211,-0.0008,0.0000,0.0000,12.1,9,16,5.9,3,10,659,1.7825,322,0.0010
50,383.0,1000.0,682559,0.5454,0.0001,0.0055,0.0051,-0.2093,-0.2520,0.0000,0.7374,0.0177,0.0000,0.0000,11.8,8,16,5.9,2,10,661,1.7819,316,0.0007
60,381.1,850.0,684662,0.4389,0.0011,0.0034,0.0041,-0.1988,-0.3094,0.0000,0.7324,-0.0421,0.0000,0.0000,12.0,8,17,5.8,2,10,644,1.7820,402,0.0006
70,406.9,950.0,712485,0.5362,0.0008,0.0041,0.0025,-0.0596,-0.2326,0.0000,0.6938,-0.0087,0.0000,0.0000,12.1,8,17,5.6,2,9,615,1.7745,234,0.0004
80,397.4,1250.0,703388,0.5609,0.0005,0.0029,0.0093,-0.0895,-0.2477,0.0000,0.6860,-0.0400,0.0000,0.0000,12.1,7,17,5.6,2,9,582,1.7773,305,0.0004
90,408.4,1000.0,720604,0.5896,0.0006,0.0028,0.0023,-0.1289,-0.2453,0.0000,0.6955,-0.0563,0.0000,0.0000,12.0,8,18,5.5,2,9,499,1.7805,264,0.0013
100,408.8,1100.0,718322,0.4424,0.0004,0.0045,0.0042,-0.2169,-0.1944,0.0000,0.7228,0.0139,0.0000,0.0000,12.1,8,17,5.3,2,10,556,1.7788,310,0.0010
110,419.3,950.0,725665,0.5030,0.0003,0.0041,0.0040,-0.0865,-0.1871,0.0000,0.6938,-0.0528,0.0000,0.0000,11.9,7,18,5.7,2,10,590,1.7843,365,0.0007
120,431.3,1050.0,733219,0.5343,0.0010,0.0145,0.0129,0.0247,-0.1309,0.0000,0.7000,-0.0131,0.0000,0.0000,11.9,7,17,5.7,2,10,623,1.7856,234,0.0005
130,447.4,1100.0,750507,0.4624,0.0005,0.0149,0.0229,-0.1047,-0.1177,0.0000,0.6123,-0.0497,0.0000,0.0000,12.0,7,17,5.7,2,11,534,1.7873,315,0.0002
140,434.8,1300.0,731452,0.3949,0.0010,0.0089,0.0082,-0.1693,-0.1422,0.0000,0.6871,-0.0375,0.0000,0.0000,11.8,6,17,5.9,2,11,569,1.7888,325,0.0005
150,466.2,1400.0,762921,0.5213,0.0005,0.0159,0.0166,-0.2784,-0.0629,0.0000,0.6404,-0.0236,0.0000,0.0000,11.5,5,17,5.7,2,11,578,1.7866,210,0.0005
160,476.2,1100.0,762598,0.4937,0.0003,0.0115,0.0148,-0.2598,-0.0426,0.0000,0.7141,-0.0382,0.0000,0.0000,11.3,6,17,5.7,2,12,619,1.7762,200,0.0003
170,485.6,1450.0,764869,0.4754,0.0008,0.0181,0.0160,-0.0068,-0.0270,0.0000,0.6985,-0.0580,0.0000,0.0000,11.0,4,16,5.7,2,10,664,1.7785,265,0.0003
180,492.0,1200.0,769868,0.4555,0.0007,0.0140,0.0130,-0.1443,-0.0247,0.0000,0.6744,-0.0526,0.0000,0.0000,10.6,5,14,5.9,2,11,612,1.7881,296,0.0006
