generation,s0d0,s0d1,s0d2,s0d3,s1d0,s1d1,s1d2,s1d3,s2d0,s2d1,s2d2,s2d3,s3d0,s3d1,s3d2,s3d3,s4d0,s4d1,s4d2,s4d3,s5d0,s5d1,s5d2,s5d3,jsd_sym0,jsd_sym1,jsd_sym2,jsd_sym3,jsd_sym4,jsd_sym5,trajectory_jsd,contrast_01,contrast_02,contrast_03,contrast_04,contrast_05,contrast_12,contrast_13,contrast_14,contrast_15,contrast_23,contrast_24,contrast_25,contrast_34,contrast_35,contrast_45
0,79156,31129,0,0,79098,24645,0,0,73610,23431,0,0,75214,25805,0,0,72834,25797,0,0,80377,25396,0,0,0.0014,0.0016,0.0024,0.0006,0.0018,0.0033,0.0000,0.0013,0.0011,0.0005,0.0003,0.0012,0.0000,0.0002,0.0004,0.0000,0.0001,0.0003,0.0000,0.0000,0.0002,0.0003
10,73457,33151,0,0,84661,42668,0,0,77206,35124,0,0,73025,35099,0,0,68531,28927,0,0,61175,30035,0,0,0.0087,0.0115,0.0148,0.0096,0.0095,0.0180,0.0030,0.0003,0.0000,0.0001,0.0001,0.0002,0.0003,0.0001,0.0008,0.0000,0.0001,0.0001,0.0002,0.0005,0.0000,0.0006
20,82352,27901,0,0,82318,31912,0,0,85326,29994,0,0,81116,28208,0,0,76590,26673,0,0,78585,28980,0,0,0.0051,0.0056,0.0115,0.0055,0.0029,0.0114,0.0019,0.0004,0.0000,0.0000,0.0000,0.0002,0.0002,0.0003,0.0003,0.0001,0.0000,0.0000,0.0001,0.0000,0.0001,0.0001
30,81406,19165,0,0,105074,24488,0,0,108091,24645,0,0,85135,18554,0,0,87532,20297,0,0,89313,22048,0,0,0.0049,0.0049,0.0054,0.0037,0.0033,0.0070,0.0040,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0003,0.0001
40,66497,24717,0,0,108382,35091,0,0,84412,29141,0,0,84111,28057,0,0,80570,29323,0,0,78207,28006,0,0,0.0058,0.0111,0.0062,0.0071,0.0118,0.0025,0.0036,0.0005,0.0001,0.0003,0.0000,0.0000,0.0001,0.0000,0.0003,0.0002,0.0000,0.0001,0.0000,0.0002,0.0001,0.0000
50,68388,18820,0,0,91367,22704,0,0,104472,26599,0,0,84884,23886,0,0,106099,28285,0,0,84363,22692,0,0,0.0064,0.0033,0.0102,0.0010,0.0062,0.0033,0.0017,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0003,0.0001,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000
60,65556,30412,0,0,80166,40726,0,0,71724,43639,0,0,70186,39580,0,0,89551,54805,0,0,62919,35398,0,0,0.0038,0.0034,0.0035,0.0055,0.0032,0.0018,0.0135,0.0002,0.0021,0.0011,0.0022,0.0010,0.0009,0.0003,0.0010,0.0003,0.0002,0.0000,0.0002,0.0002,0.0000,0.0002
70,76736,22825,0,0,96235,26447,0,0,98440,25613,0,0,87719,29093,0,0,127375,32661,0,0,71019,18322,0,0,0.0037,0.0037,0.0021,0.0026,0.0034,0.0029,0.0122,0.0001,0.0004,0.0003,0.0005,0.0004,0.0001,0.0008,0.0001,0.0001,0.0013,0.0000,0.0000,0.0014,0.0014,0.0000
80,77645,20663,0,0,96220,25123,0,0,102734,26167,0,0,94964,28608,0,0,113373,31978,0,0,65127,20786,0,0,0.0032,0.0033,0.0030,0.0047,0.0057,0.0036,0.0003,0.0000,0.0000,0.0003,0.0001,0.0007,0.0000,0.0004,0.0001,0.0009,0.0006,0.0002,0.0011,0.0001,0.0001,0.0003
90,88915,23303,0,0,88568,17716,0,0,103138,25237,0,0,101266,24736,0,0,124616,27417,0,0,76670,19022,0,0,0.0042,0.0010,0.0007,0.0024,0.0045,0.0017,0.0008,0.0014,0.0001,0.0001,0.0006,0.0001,0.0008,0.0007,0.0002,0.0009,0.0000,0.0002,0.0000,0.0002,0.0000,0.0003
100,80334,42321,0,0,63065,34305,0,0,74114,34765,0,0,75254,39317,0,0,104730,55908,0,0,72621,41588,0,0,0.0036,0.0025,0.0044,0.0034,0.0059,0.0027,0.0156,0.0000,0.0004,0.0000,0.0000,0.0002,0.0006,0.0000,0.0000,0.0001,0.0003,0.0005,0.0011,0.0000,0.0002,0.0001
110,84239,34577,0,0,70096,25037,0,0,83109,35357,0,0,90345,37836,0,0,103403,41105,0,0,85298,35263,0,0,0.0025,0.0032,0.0045,0.0051,0.0048,0.0041,0.0022,0.0005,0.0000,0.0000,0.0000,0.0000,0.0008,0.0006,0.0003,0.0005,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000
120,92253,24149,0,0,77475,24682,0,0,96830,25872,0,0,112688,24891,0,0,113661,27397,0,0,90697,22624,0,0,0.0096,0.0168,0.0132,0.0101,0.0185,0.0097,0.0051,0.0008,0.0000,0.0006,0.0001,0.0000,0.0007,0.0028,0.0016,0.0013,0.0007,0.0002,0.0001,0.0001,0.0003,0.0000
130,66046,39912,0,0,79092,40064,0,0,88376,50134,0,0,79834,48621,0,0,86261,52968,0,0,75627,43572,0,0,0.0167,0.0127,0.0136,0.0146,0.0206,0.0183,0.0167,0.0009,0.0001,0.0000,0.0000,0.0001,0.0004,0.0010,0.0011,0.0005,0.0001,0.0002,0.0000,0.0000,0.0001,0.0001
140,57336,49332,0,0,77111,52536,0,0,77031,56520,4,0,72001,51632,0,0,76531,48512,0,0,66493,46410,3,0,0.0082,0.0076,0.0091,0.0115,0.0082,0.0067,0.0017,0.0017,0.0008,0.0010,0.0028,0.0014,0.0002,0.0001,0.0002,0.0000,0.0000,0.0007,0.0001,0.0005,0.0000,0.0003
150,80143,25978,0,0,92453,33491,0,0,85997,29718,0,0,99636,34603,0,0,105571,37518,0,0,106381,31432,0,0,0.0149,0.0177,0.0189,0.0142,0.0148,0.0136,0.0159,0.0003,0.0001,0.0001,0.0002,0.0002,0.0001,0.0000,0.0000,0.0010,0.0000,0.0000,0.0006,0.0000,0.0006,0.0008
160,69452,23750,0,0,81315,26425,0,0,90396,29601,0,0,107059,39905,0,0,117713,38670,0,0,102121,36191,0,0,0.0121,0.0114,0.0118,0.0093,0.0131,0.0169,0.0002,0.0001,0.0000,0.0002,0.0000,0.0000,0.0000,0.0005,0.0000,0.0002,0.0004,0.0000,0.0001,0.0004,0.0001,0.0001
170,72261,24775,0,0,74185,30072,0,0,93367,34143,0,0,102167,38425,0,0,112643,40835,0,0,109039,32957,0,0,0.0118,0.0158,0.0188,0.0141,0.0260,0.0182,0.0004,0.0007,0.0001,0.0002,0.0001,0.0004,0.0003,0.0001,0.0003,0.0021,0.0000,0.0000,0.0008,0.0000,0.0011,0.0008
180,77181,36117,0,0,78935,39577,0,0,91007,40845,0,0,97830,49960,0,0,93037,38842,0,0,82939,43598,0,0,0.0085,0.0141,0.0130,0.0136,0.0190,0.0137,0.0026,0.0001,0.0000,0.0002,0.0003,0.0004,0.0003,0.0000,0.0009,0.0001,0.0005,0.0001,0.0007,0.0011,0.0000,0.0014
190,112757,23811,0,0,112038,22315,0,0,106085,23673,0,0,109991,22598,0,0,99553,18616,0,0,129275,25330,0,0,0.0135,0.0176,0.0255,0.0186,0.0277,0.0236,0.0164,0.0001,0.0001,0.0000,0.0003,0.0001,0.0002,0.0000,0.0001,0.0000,0.0001,0.0005,0.0003,0.0002,0.0000,0.0000
200,99347,25955,0,0,100881,24899,0,0,98522,31316,0,0,109373,32309,0,0,102103,26378,0,0,112024,30401,0,0,0.0224,0.0234,0.0292,0.0283,0.0270,0.0401,0.0018,0.0001,0.0008,0.0003,0.0000,0.0000,0.0014,0.0007,0.0000,0.0002,0.0001,0.0009,0.0005,0.0004,0.0002,0.0001
210,81905,36250,0,0,96942,44322,0,0,92056,42040,0,0,93689,43002,0,0,87412,39421,0,0,101908,45265,0,0,0.0275,0.0387,0.0366,0.0460,0.0488,0.0539,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220,103197,29673,0,0,106539,31763,0,0,98850,32238,0,0,106988,30328,0,0,98716,26928,0,0,123618,34189,0,0,0.0483,0.0504,0.0543,0.0511,0.0594,0.0724,0.0048,0.0000,0.0004,0.0000,0.0001,0.0000,0.0002,0.0001,0.0002,0.0001,0.0004,0.0007,0.0006,0.0000,0.0000,0.0000
230,102638,31565,0,0,113045,28769,0,0,100426,31104,0,0,97920,31869,0,0,79516,24084,0,0,138441,44433,0,0,0.0632,0.0746,0.0694,0.0711,0.0947,0.1069,0.0003,0.0008,0.0000,0.0001,0.0000,0.0000,0.0008,0.0013,0.0006,0.0012,0.0001,0.0000,0.0000,0.0001,0.0000,0.0001
240,107231,32773,0,0,134364,37422,0,0,103719,28787,0,0,85489,28083,0,0,75742,22674,0,0,127921,41179,0,0,0.0649,0.0778,0.0727,0.0882,0.1036,0.0990,0.0001,0.0002,0.0002,0.0001,0.0000,0.0001,0.0000,0.0006,0.0001,0.0005,0.0006,0.0001,0.0005,0.0002,0.0000,0.0001
250,102450,38235,0,0,137803,49916,0,0,88023,31103,0,0,89347,33137,0,0,70453,31082,0,0,109541,44317,0,0,0.0679,0.0727,0.0730,0.0726,0.0859,0.0924,0.0015,0.0000,0.0001,0.0000,0.0007,0.0002,0.0000,0.0000,0.0010,0.0003,0.0001,0.0012,0.0005,0.0008,0.0002,0.0002
